Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-12-18,210.8701934814453,211.93135137414484,208.39096417927163,210.8701934814453,63354900
2020-12-21,214.72897338867188,216.08918114203118,209.60650453017766,209.8669732897354,37181900
2020-12-22,216.03131103515625,217.66162915201497,214.0151252532019,214.8254561818475,22612200
2020-12-23,213.21441650390625,215.66470686657877,213.00218489140235,215.2306021027868,18699600
2020-12-24,214.88330078125,215.71292937755183,213.38803805629948,213.60026965441662,10550600
2020-12-28,217.0152587890625,218.04746272776887,215.1437699941289,216.52326066509002,17933500
2020-12-29,216.23382568359375,219.15681584957412,215.6839636792518,218.31754581772938,17403200
2020-12-30,213.85107421875,217.6615865859452,213.64849888615834,217.27570427640512,20272300
2020-12-31,214.56497192382812,215.12449030176415,211.9217329770077,213.87039840086666,20942100
2021-01-04,210.00204467773438,215.12451393232777,207.223750280704,214.67111131281493,37130100
2021-01-05,210.20460510253906,210.80271909929093,208.08230357575826,209.5872080271136,23823000
2021-01-06,204.75413513183594,208.84439971467242,204.45508551109228,204.6769586619817,35930700
2021-01-07,210.58084106445312,211.59376209867375,206.16260177673922,206.4809345087238,27694500
2021-01-08,211.8638458251953,212.7899487253861,209.36531838225514,210.95704072206647,22956200
2021-01-11,209.80909729003906,211.17894660014582,209.0759281382161,210.7544833480183,23031300
2021-01-12,207.3394775390625,209.43285429285,205.7863507861013,208.85403813753175,23249300
2021-01-13,208.6996612548828,209.10482662915626,206.37477008164043,206.46160279890978,20087100
2021-01-14,205.49693298339844,209.78013111431568,205.22682271567444,208.28486838376134,29480800
2021-01-15,205.13998413085938,206.9342964122726,204.54188494369004,205.97926896436093,31746500
2021-01-19,208.79615783691406,209.31708059671112,205.1207150230666,206.20115613666417,30480900
2021-01-20,216.41714477539062,217.81593324197758,209.61612152485435,210.01164538751647,37777300
2021-01-21,217.02490234375,218.30793348539314,214.5649558607472,216.76443361216235,30709400
2021-01-22,217.97030639648438,221.94481374827697,217.82560971130675,219.06040382451215,30172700
2021-01-25,221.42388916015625,221.66506012946064,216.3014201273162,221.02836523771916,33152100
2021-01-26,224.125,225.90965628548417,221.95446134366796,223.67159741419584,49169600
2021-01-27,224.67483520507812,231.94855878459933,222.01231340498785,229.5947281242748,69870600
2021-01-28,230.49191284179688,234.07089652048276,226.78753026799865,227.2891700081717,49111200
2021-01-29,223.7680206298828,229.6140010552118,223.1795630285267,227.65569446969477,42503100
2021-02-01,231.18646240234375,233.93581706822144,224.22144432069945,226.75856737700522,33314200
2021-02-02,231.05142211914062,233.7525398256425,230.26038902161145,232.77821444261426,25916300
2021-02-03,234.41819763183594,236.43438353547978,230.8102743938084,231.10933878020202,27158100
2021-02-04,233.463134765625,234.64970650721565,231.88105383007826,234.09018810416885,25296100
2021-02-05,233.64639282226562,234.68825300082415,231.92925698720768,233.67533215612235,18054800
2021-02-08,233.90687561035156,235.0741347325014,232.3054970144389,234.5628535104182,22211900
2021-02-09,235.16094970703125,236.11597714944006,232.85535625247002,233.32804184480403,23565000
2021-02-10,234.2445526123047,237.2350638824721,232.3827050234115,236.34755645726645,22186700
2021-02-11,235.85556030273438,236.49224045800057,233.5981889016559,236.1353121430884,15751100
2021-02-12,236.337890625,236.6369402492876,234.1576958055235,235.3153134272428,16561100
2021-02-16,235.09347534179688,237.43766499136674,234.34102303944331,236.37650675988922,26728500
2021-02-17,236.1183319091797,236.22469210962927,232.96622513355865,233.3336539630768,21653500
2021-02-18,235.72190856933594,235.85727476251574,232.88888225714146,233.7977758772666,16925600
2021-02-19,232.99525451660156,235.78961124122654,232.23139079471954,235.68325103009647,25262600
2021-02-22,226.7490234375,230.05583876789643,224.708852062903,229.56272223089456,36446900
2021-02-23,225.550048828125,227.05841903890274,221.16028962105955,222.70734431374834,30228700
2021-02-24,226.78770446777344,227.41618718695392,221.42137560177235,222.39794491641797,26339700
2021-02-25,221.4116973876953,226.82635937530543,220.3384316846354,224.39943186379477,39542200
2021-02-26,224.68954467773438,227.5805831932529,221.9435213576159,223.86766895538668,37819200
2021-03-01,229.09861755371094,229.6110763466161,225.43403703032263,228.09302745735494,25324000
2021-03-02,226.13021850585938,229.4467125406438,225.72411990536094,229.16630164142225,22812500
2021-03-03,220.02906799316406,225.84984468324723,219.7389933201918,224.47684030191002,34029500
2021-03-04,219.2264862060547,224.79587148910286,216.83822837187682,219.23616470377033,44727800
2021-03-05,223.93533325195312,225.55006376420437,218.96543927137483,221.92416791979974,41872800
2021-03-08,219.8646697998047,225.64676131468542,219.61327964830866,223.71295006186025,35267400
2021-03-09,226.04319763183594,227.5902525456764,224.0030261566908,225.17298846393138,33080500
2021-03-10,224.72816467285156,229.15659343887822,224.36073587776528,229.15659343887822,29746800
2021-03-11,229.2823486328125,231.2548297284497,226.5556675332269,227.18416507754895,29907600
2021-03-12,227.947998046875,228.01568852154853,225.51139177337745,226.2655769704919,22653700
2021-03-15,227.03912353515625,227.4065524199136,224.13840645459197,227.18416824147047,26034900
2021-03-16,229.84315490722656,232.11537439525682,228.13172772834727,228.46047211752122,28092200
2021-03-17,229.19529724121094,230.65533414161612,225.5113892608555,228.33475184620352,29562100
2021-03-18,223.08445739746094,226.43962095239084,222.70736481006173,224.86356013012343,34833000
2021-03-19,222.72671508789062,224.77655027756867,221.75980946954306,223.37454008172645,46430700
2021-03-22,228.18008422851562,229.05995721331718,222.52367991322274,222.64938237697024,30127000
2021-03-23,229.71743774414062,233.07260140794008,229.2243211919434,229.63041977971915,31638400
2021-03-24,227.66763305664062,230.12356715561626,227.53226684258388,229.9785371954879,25620100
2021-03-25,224.65084838867188,229.09862014573517,223.9063416834218,227.51289551782554,34061900
2021-03-26,228.65380859375,228.8762074815736,223.8869715588092,223.8869715588092,25479900
2021-03-29,227.45489501953125,228.96326550344105,224.2060913796449,228.76020882115643,25227500
2021-03-30,224.1770477294922,226.11085874375115,223.4518685991451,225.80144189964227,24792000
2021-03-31,227.96730041503906,231.1870973105144,224.69915529665505,225.20195025805404,43623500
2021-04-01,234.32958984375,234.80336416913414,230.17189260393687,230.5779912058987,30338000
2021-04-05,240.82720947265625,241.68775495440264,234.66801013894693,234.72602212026308,36910600
2021-04-06,239.65724182128906,241.14627007299995,238.70967838838214,239.41551540190804,22931900
2021-04-07,241.6297149658203,242.62562660061505,239.00940892803152,239.6088857071637,22719800
2021-04-08,244.8688201904297,245.72936550341456,243.6601883040011,244.40470967710712,23625200
2021-04-09,247.3828125,247.518178698684,244.08566074528554,244.50142308631172,24326800
2021-04-12,247.4408416748047,249.14260515231663,246.1935250574183,246.28055778347118,27148700
2021-04-13,249.9353790283203,250.61222464284555,248.33031244875366,248.74610421587698,23837500
2021-04-14,247.13137817382812,250.2641426143906,246.71561588229466,248.95884376923271,23070900
2021-04-15,250.91200256347656,251.3277648885937,249.20059027856033,249.39395369349947,25627500
2021-04-16,252.1109619140625,252.3623668176979,249.07489361125147,250.8830023994161,24878600
2021-04-19,250.1771697998047,252.8265114662994,249.28763308567483,251.57919485902204,23209300
2021-04-20,249.71304321289062,251.58884238878173,248.3400243131991,249.28760239933078,19722900
2021-04-21,251.956298828125,252.0529953090538,248.7365155173191,250.37058866986004,24030400
2021-04-22,248.65911865234375,253.11653917054838,247.17973955535945,251.59849034240358,25606200
2021-04-23,252.50738525390625,252.85548660520342,248.75578689805977,249.34561464334067,21462600
2021-04-26,252.8941650390625,253.75472524511878,251.55986000691124,253.00054000624235,19763300
2021-04-27,253.3002471923828,254.47987313939635,251.51146602986665,252.92313986559907,31014200
2021-04-28,246.135498046875,248.04998184217743,244.5787793719644,247.60518400104692,46903100
2021-04-29,244.15333557128906,247.6245379994576,240.7595021178663,247.0057189857729,40589000
2021-04-30,243.83424377441406,244.70446765473707,241.33964034405656,241.47500653604348,30945100
2021-05-03,243.52484130859375,245.93244152740905,242.8093258640867,245.01386941830933,19626600
2021-05-04,239.58953857421875,242.89636879848177,237.62672133374875,242.66430613687115,32756100
2021-05-05,238.313232421875,241.24295530803658,237.6847496622755,240.8175144691284,21901300
2021-05-06,241.46531677246094,241.59101921408728,236.5921193344772,238.2938677763207,26491100
2021-05-07,244.10498046875,245.88408313126567,242.8576640531263,243.80522735649544,27032900
2021-05-10,238.99974060058594,243.39916442664116,238.94172861998285,242.567624945774,29299900
2021-05-11,238.08116149902344,238.43892660322572,234.54229821975156,236.45676717461123,33641600
2021-05-12,231.09043884277344,236.29239570195924,230.19122371487865,234.1555278301892,36684400
2021-05-13,234.98707580566406,237.4720303748559,233.4303571397704,233.79778600308975,29624300
2021-05-14,239.93763732910156,240.93354899396118,237.36567944671805,237.45269741654624,23901100
2021-05-17,237.06591796875,238.42925846341785,235.46086581765138,238.39058872945552,24970200
2021-05-18,235.03541564941406,238.2552130765147,234.86136496896637,238.11984688230368,20168000
2021-05-19,235.61688232421875,235.72348812129565,231.23638816112967,231.92446802490932,25739800
2021-05-20,238.8732452392578,240.29787996897917,236.33410718748098,236.43102694934643,21800700
2021-05-21,237.60366821289062,240.66614921501537,237.18694578423563,239.92960932842846,21863100
2021-05-24,243.0404815673828,243.4087588230103,239.87139544817546,240.14275296667708,21411500
2021-05-25,243.95147705078125,244.94968824715602,243.07925855674293,243.999936919978,17704300
2021-05-26,243.72860717773438,245.13385481735335,243.0114394803578,243.67044645534367,17771600
2021-05-27,241.61585998535156,243.71888825894953,241.55771405514977,243.4184577609893,24426200
2021-05-28,241.9744415283203,244.30038230069232,241.85814966545857,243.25371117130643,18270200
2021-06-01,239.7648162841797,243.53476378625956,239.3384078419396,243.4766178526758,23213300
